Country,Economic Group,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Luxembourg,EURO,,,,,,,0.175,0.366,1.33,,11.454,31328.002,11.141,14.968,45.324,
Macao SAR,OAE,,,,,,,,,,,,,,,,
Madagascar,SSA,-0.299,24.48,,47.796,,,,9.221,,,3726.754,404172.889,-0.021,8.486,7.465,0
Malawi,SSA,-0.112,,,,,,,6.923,,,365.053,52728.891,7.889,11.004,0.454,-10.009
Malaysia,EDA,-3.585,,,,,,,14.592,,,167.321,11466.796,29.669,42.513,47.36,9.886
Maldives,EDA,-0.004,,,,,,,0.163,,,2.509,15419.239,11.511,,,4.474
Mali,SSA,-0.115,,,,,,,7.004,,,1033.268,147515.764,-2.232,10.394,,11.585
Malta,EURO,,,,,,,,0.32,,18.387,,,53.372,33.282,51.437,-15.656
Marshall Islands,EDA,,,,,,,,,,,,,,,,
Mauritania,MENA,,,,,,,,,,,,,,,,
Mauritius,SSA,-0.041,,,,,,,0.993,20.563,,64.044,64527.648,14.956,22.987,28.985,2.309
Mexico,LAC,-5.89,,,,,,,72.548,4.2,,6610.39,91117.466,21.047,23.69,0.217,22.636
Micronesia,EDA,,,,,,,,,,,,,,,,
Moldova,CIS,,,,,,,,,,,,,,,,
Mongolia,EDA,,4.182,,4.622,,,,,,,3735.954,,26.545,70.123,,
Montenegro,EDE,,,,,,,,,,,,,,,,
Morocco,MENA,-0.974,,,,,,,20.354,,,251.168,12340.005,18.54,31.659,38.55,4.648
Mozambique,SSA,-0.497,0.032,,0.037,,,,12.729,,,67.981,5340.563,14.762,26.787,0.213,-7.304
Myanmar,EDA,,,,,,,,,,,,,,,,
Namibia,SSA,,,,,,,,,,,,,,,,
Nepal,EDA,-0.188,,,,,,,15.07,,,181.639,12052.724,16.376,7.091,7.165,
Netherlands,EURO,5.025,94.113,-1.746,105.088,100.032,,5.576,14.313,6.525,-5.166,312.857,21858.241,22.904,20.426,53.58,-0.017
New Zealand,OAE,-1.71,,,,,,1.567,3.167,4.358,-1.665,95.756,30232.755,12.827,22.94,,2.218
Nicaragua,LAC,-0.514,,,,,,,,12.4,,82.754,,3.79,,,
Niger,SSA,-0.233,,,,,,,5.816,,,1098.92,188936.068,9.035,20.588,53.461,-14.26
Nigeria,SSA,-7.282,,,,,,,72.318,,,,,,,,
Norway,OAE,0.527,194.146,-13.172,179.032,152.441,-17.819,1.943,4.123,2.606,-1.765,1381.699,335159.567,29.603,28.761,40.414,0.131
Oman,MENA,0.503,,,,,,,1.47,,,5.688,3869.406,25.509,25.18,,1.078
Pakistan,MENA,-0.374,55.33,,,,,,83.082,,,2320.215,27926.819,14.695,18.874,14.059,11.153
Palau,EDA,,,,,,,,,,,,,,,,
Panama,LAC,-0.194,,,,,,,2.078,10.981,,8.188,3939.426,14.507,29.048,55.487,6.061
Papua New Guinea,EDA,-0.299,,,,,,,3.11,,,4.369,1404.859,6.612,29.492,,
Paraguay,LAC,-0.375,229.429,,296.261,,,,3.38,,,10226.145,3025679.722,18.775,25.627,2.106,7.3
Peru,LAC,-2.218,,,,,,,18.197,6.4,,175.387,9638.449,31.017,31.321,,-9.674
Philippines,EDA,-3.2,,,,,,,50.318,,,2448.22,48655.338,17.327,33.489,12.644,-5.907
Poland,EDE,-1.941,,,,,,,36.216,,,595.196,16434.388,28.539,,,
Portugal,EURO,-3.258,,,,,,4.381,9.892,7.457,2.777,90.741,9173,24.784,38.257,15.052,4.833
Puerto Rico,OAE,,,,,,,0.709,3.257,22.8,,4.569,1402.647,,9.037,62.21,
Qatar,MENA,5.631,,,,,,,0.285,,,94.903,332473.613,34.847,,,-14.463
Republic of Congo,SSA,-0.332,,,,,,,1.698,,,454.149,267528.726,30.811,22.154,67.271,-14.57
Romania,EDE,1.047,,,,,,,22.683,,,401.499,17700.238,19.322,28.338,,-8.913
Russia,CIS,,,,,,,,,,,,,,,,
Rwanda,SSA,-0.09,,,,,,,5.006,,,1261.699,252055.609,11.154,16.559,8.755,-16.182
Samoa,EDA,-0.009,,,,,,,,,,0.804,,,,,
San Marino,OAE,,,,,,,,,,,,,,,,
São Tomé and Príncipe,SSA,-0.028,,,,,,,0.092,13.623,,535.635,5801034.929,,,0.936,0
Saudi Arabia,MENA,7.575,,,,,,,10.276,,,1077.932,104900.094,25.661,20.706,85.053,-27.359
Senegal,SSA,-0.307,,,,,,,5.967,,,2158.572,361753.781,10.036,19.901,38.888,28.568
Serbia,EDE,,,,,,,,,,,,,,,,
Seychelles,SSA,-0.041,,,,,,,0.064,,,2.217,34457.391,1.208,44.989,28.154,0.796
Sierra Leone,SSA,-0.17,,,,,,,3.482,,,2650.593,761139.744,-0.809,8.203,0.338,-30.085
Singapore,OAE,-1.276,,,,,,1.332,2.646,6.281,,51.963,19634.902,38.017,46.281,57.445,5.161
Slovak Republic,EURO,,,,,,,,,,,,,,,,
Slovenia,EURO,,,,,,,,,,,,,,,,
Solomon Islands,EDA,-0.004,0.041,,0.037,,,,0.247,,,1.745,7078.25,9.143,2.667,,-20.674
South Africa,SSA,-3.422,,,,,,,30.61,10.755,,1474.538,48171.774,22.165,26.529,7.5,-2.645
South Sudan,SSA,,,,,,,,,,,,,,,,
Spain,EURO,-4.704,38.09,-11.939,45.447,31.769,,11.87,37.944,15.77,-3.872,491.411,12950.977,19.154,22.294,28.531,5.573
Sri Lanka,EDA,-0.794,,,,,,,14.986,,,656.898,43832.886,15.472,31.579,8.43,5.195
St. Kitts and Nevis,LAC,-0.007,0.052,,0.062,,,,0.043,,,0.476,11142.207,17.41,25.765,,-12.424
St. Lucia,LAC,-0.031,,,,,,,0.119,,,0.973,8154.201,10.929,34.524,47.843,6.519
St. Vincent and the Grenadines,LAC,-0.009,0.07,,0.07,,,,0.099,,,0.532,5364.23,12.746,21.246,46.999,-5.742
Sudan,MENA,-1.1,,,,,,,19.8,22.219,,13.963,705.183,97.024,4.464,,0.468
Suriname,LAC,-0.056,,,,,,,,,,5.632,,,,,-2.832
Swaziland,SSA,-0.114,0.184,,0.183,,,,0.668,,,9.991,14954.335,4.717,23.96,15.094,-11.915
Sweden,OAE,-3.424,408.206,,451.54,,,4.257,8.327,4.342,-1.023,1976.637,237363.05,18.685,21.759,40.083,-15.925
Switzerland,OAE,3.85,,,,,,3.256,6.373,0.428,,359.695,56440.405,32.587,29.129,63.958,-2.379
Syria,MENA,-0.252,,,,,,,9.758,,,516.534,52932.014,22.217,23.956,,4.2
Taiwan Province of China,OAE,,454.461,-50.613,508.668,,,6.811,18.516,2.14,,2443.449,131965.946,30.864,26.217,61.464,1.924
Tajikistan,CIS,,,,,,,,,,,,,,,,
Tanzania,SSA,-0.523,,,,,,,19.732,,,8758.577,443876.787,11.599,32.053,1.889,-24.6
Thailand,EDA,-1.003,,,,,,,48.85,,,1760.649,36041.954,19.733,23.235,,18.788
The Bahamas,LAC,-0.065,,,,,,,0.22,,,4.395,19995.391,15.111,19.499,41.231,-1.704
The Gambia,SSA,-0.006,,,,,,,0.657,,,8.609,13110.097,15.414,6.47,24.28,
Timor-Leste,EDA,,,,,,,,,,,,,,,,
Togo,SSA,-0.087,,,,,,,2.846,,,665.24,233720.464,-3.242,29.466,41.992,
Tonga,EDA,0.004,,,,,,,0.093,,,0.327,3527.359,,,15.302,
Trinidad and Tobago,LAC,-0.599,,,,,,,1.121,10.271,,45.756,40831.044,20.364,27.499,20.929,-3.837
Tunisia,MENA,-0.949,,,,,,,6.73,,,14.996,2228.192,20.489,30.579,,-6.901
Turkey,EDE,-0.952,,,,,,,44.276,7.6,,32.909,743.253,21.765,22.862,,
Turkmenistan,CIS,,,,,,,,,,,,,,,,
Tuvalu,SSA,,,,,,,,,,,,,,,,
Uganda,SSA,-0.07,,,,,,,13.321,,,8672.566,651036.859,19.364,,0.058,53.961
Ukraine,CIS,,,,,,,,,,,,,,,,
United Arab Emirates,MENA,7,,,,,,,1.17,,,346.825,296431.439,37.663,29.317,,-8.81
United Kingdom,OAE,3.438,123.55,0.167,130.808,137.419,137.087,23.951,56.291,10.725,-3.633,821.317,14590.556,20.42,19.753,37.452,1.113
United States,OAE,-5.533,,,,,,99.529,232.128,9.708,-6.17,6491.275,27964.225,21.762,22.063,97.967,-7.639
Uruguay,LAC,-0.449,,,,,,,2.951,,,263.961,89448.14,13.38,16.039,0.033,-16.485
Uzbekistan,CIS,,,,,,,,,,,,,,,,
Vanuatu,EDA,0.012,,,,,,,0.123,,,25.651,208541.292,,,46.605,
Venezuela,LAC,-3.878,,,,,,,15.868,,,32.122,2024.4,21.054,25.451,,
Vietnam,EDA,-0.616,,,,,,,56.4,,,347747.377,6165733.473,10.955,14.3,,45.337
Yemen,MENA,,,,,,,,,,,,,,,,
Zambia,SSA,-0.741,,,,,,,6.297,,,41.341,6564.955,-0.655,17.737,0.011,
Zimbabwe,SSA,-0.748,,,,,,,7.606,,,,,,,,
