Country,BCA,GGR,GGSB,GGX,GGXWDG,GGXWDN,LE,LP,LUR,NGAP_NPGDP,NGDP_R,NGDPRPC,NGSD_NGDP,NID_NGDP,PCPIE,TX_RPCH
Mexico,-1.577,401.275,,490.989,,,,94.427,6.23,,8026.898,85006.429,16.487,16.946,29.977,18.972
Micronesia,-0.02,0.17,,0.171,0.12,,,0.106,,,0.239,2258.982,,,,
Moldova,-0.085,2.556,,2.795,5.15,,,4.346,14.4,,6.48,1491.069,29.253,35.125,2506.773,5.261
Mongolia,0.026,140.901,,173.265,,,,2.235,,,4641.236,2076987.239,21.202,23.407,19.132,
Montenegro,,,,,,,,,,,,,,,,
Morocco,-1.866,67.571,,76.731,260.514,260.514,,26.386,16,,374.804,14204.664,19.212,22.967,82.514,-4.551
Mozambique,-0.464,4.503,,5.182,,,,15.982,,,84.139,5264.725,27.079,37.629,40.749,3.618
Myanmar,,,,,,,,,,,,,,,,
Namibia,0.176,3.966,,4.243,2.521,2.521,,1.594,,,22.826,14319.483,26.658,21.691,29.342,9.529
Nepal,-0.1,,,,,,,20.587,,,330.289,16043.465,21.351,23.473,25.842,
Netherlands,25.773,146.753,-15.814,174.679,237.973,110.24,6.884,15.459,7.064,-5.194,448.67,29023.223,28.32,21.853,67.78,13.741
New Zealand,-2.433,38.788,2.518,36.151,36.686,40.536,1.686,3.707,6.45,-1.188,128.072,34551.488,19.425,23.327,92.184,4.394
Nicaragua,-0.722,,,,,,,4.658,16.907,,76.715,16470.416,3.94,19.294,38.813,27.486
Niger,-0.152,106.552,,148.663,794.605,-6.602,,8.904,,,1012.935,113757.191,-0.653,7.831,69.995,0.2
Nigeria,-2.578,,,,,,,103.85,,,18167.478,174939.05,12.839,14.222,20.965,16.634
Norway,5.318,508.438,-39.095,479.605,308.873,-402.164,2.079,4.37,4.906,-0.737,2101.348,480862.398,27.463,23.965,72.546,5.001
Oman,-0.818,2.089,,2.327,1.514,0.454,,2.172,,,13.174,6065.71,5.745,15.592,105.16,1.065
Pakistan,-2.168,307.433,,426.373,1594.772,,,118.5,4.84,,4655.375,39285.867,15.817,18.546,42.88,6.877
Palau,,,,,,,,,,,,,,,,
Panama,-0.465,1.999,,2.226,6.767,6.766,,2.747,14.019,,10.651,3877.273,21.532,31.815,62.808,8.984
Papua New Guinea,0.988,1.652,,1.633,3.377,,,4.52,,,7.467,1651.947,39.277,21.939,147.043,-3.24
Paraguay,-0.217,4727.363,,4266.149,3123.292,,,4.83,3.3,,16015.231,3315479.335,19.622,22.021,36.269,16.858
Peru,-4.623,,,,,,,23.345,7.1,,195.536,8375.973,13.944,22.811,60.105,5.373
Philippines,-1.98,415.435,-11.113,415.784,1324.429,,,68.41,9.525,,3005.541,43934.235,23.934,26.345,55.7,25.008
Poland,0.854,146.019,-19.101,160.905,165.2,-11.408,,38.581,13.341,,761.798,19745.622,19.33,18.487,68.644,
Portugal,-0.132,33.341,-3.293,37.951,51.962,,4.531,10.026,7.151,-3.351,136.505,13614.789,20.266,24.181,65.51,13.588
Puerto Rico,,,,,,,1.076,3.655,13.7,,8.069,2207.626,,16.869,78.019,
Qatar,-1.761,11.603,,13.047,12.537,11.039,,0.501,,,100.123,199784.896,23.081,,,-11.827
Republic of Congo,-0.625,260.024,,338.268,0,,,2.59,,,779.1,300810.811,-11.471,36.573,68.549,0.04
Romania,-1.584,2.264,,2.506,,,,22.927,9.882,,369.597,16120.536,18.701,24.886,3.071,15.085
Russia,6.963,,,,,,,148.3,8.534,,24435.33,164769.59,26.064,23.982,73.966,7.666
Rwanda,0.057,61.528,,69.502,388.291,,,5.468,,,1042.889,190741.045,11.085,21.692,31.908,21.314
Samoa,0.01,0.217,,0.252,,,,,,,1.096,,,,51.778,
San Marino,,,,,,,,,,,,,,,,
São Tomé and Príncipe,-0.027,,,,,,,0.127,14.352,,534.407,4198237.23,,,26.19,-13.438
Saudi Arabia,-5.318,146.5,,174,398.576,364.937,,18.136,,,1310.258,72247.832,16.571,20.286,89.536,2.94
Senegal,-0.323,506.7,11.4,434.3,0,,,8.712,,,2725.03,312807.399,6.995,13.62,74.498,12.32
Serbia,,,,,,,,,,,,,,,,
Seychelles,0.001,1.223,,1.285,3.231,,,0.075,7.7,,3.873,51433.693,30.604,30.325,35.239,1.86
Sierra Leone,-0.118,,,,,,,3.927,,,2345.168,597174.656,-6.257,4.178,228.955,-24.138
Singapore,14.416,41.181,15.446,26.142,86.508,,1.857,3.525,1.75,,139.405,39553.089,50.244,33.841,71.626,22.207
Slovak Republic,0.538,8.821,,9.479,8.052,,2.147,5.368,13.7,-0.077,35.704,6651.553,26.25,26.414,43.945,6.171
Slovenia,-0.096,4.177,,4.173,1.765,,0.922,1.99,7,-1.103,22.612,11361.463,24.637,25.081,53.092,0.9
Solomon Islands,-0.085,0.446,,0.366,,,,0.359,,,3.036,8451.087,-19.762,4.158,43.617,14.054
South Africa,-2.494,,,,,,,41.43,16.5,,1703.66,41121.41,17.563,19.167,36.7,10.938
South Sudan,,,,,,,,,,,,,,,,
Spain,-5.84,171.301,-17.938,203.628,283.457,254.797,12.936,39.388,22.9,-0.908,709.7,18018.208,21.056,22.149,65.445,8.31
Sri Lanka,-0.985,145.286,,203.484,635.696,,,17.28,12.267,,1185.329,68595.428,18.171,25.873,34.434,0
St. Kitts and Nevis,-0.045,0.194,,0.187,,,,0.043,,,0.96,22373.343,20.976,36.518,60.389,-8.235
St. Lucia,-0.027,0.392,,0.395,0.471,,,0.145,,,2.231,15417.698,20.123,25.779,74.659,7.01
St. Vincent and the Grenadines,-0.04,0.193,,0.183,0.434,0.425,,0.106,,,0.938,8815.174,12.592,25.595,69.956,33.574
Sudan,-1.475,0.365,,0.501,9.294,,,27.95,14.618,,18.498,661.833,0.283,20.369,15.083,34.424
Suriname,0.063,0.094,,0.089,0.071,,,0.437,8.418,,4.629,10590.465,275.845,23.683,12.355,16.077
Swaziland,-0.03,1.454,,1.393,0.877,0.877,,0.963,,,21.85,22679.261,13.725,25.796,71.1,2.77
